"R-C-RBP-RP400\n제품명 : RIDIPAPER 4 모델명 : RP-400\n상호명 : 리디 주식회사 제조자 : (주)하젠 제조국 : 중국\n제조시기 : 별도 표기\n기자재명칭 : 특정소출력 무선기기 (무선랜을 포함한 무선접속시스템용\n무선기기(5150~5350MHz, 5470~5850MHz 주파수 대역))\n리디(주) 고객센터 : help.ridibooks.com | help.ridibooks.com"|"R-C-RBP-RP400\n제품명 : RIDIPAPER 4 모델명 : RP-400\n상호명 : 리디 주식회사 제조자 : (주)하젠 제조국 : 중국\n제조시기 : 별도 표기\n기자재명칭 : 특정소출력 무선기기 (무선랜을 포함한 무선접속시스템용\n무선기기(5150~5350MHz, 5470~5850MHz 주파수 대역))\n리디(주) 고객센터 : help.ridibooks.com | help.ridibooks.com"
이전 문장 듣기|이전 문장 듣기
기본 이미지 중에서 선택|기본 이미지 중에서 선택
등록된 댓글이 없습니다.|등록된 댓글이 없습니다.
테마|테마
닫기|닫기
비밀 정보|비밀 정보
자동 선택|자동 선택
건전한 댓글 정착 및 양질의 댓글을 위해 아래\n해당하는 댓글은 비공개 조치될 수 있음을 안내드립니다.|건전한 댓글 정착 및 양질의 댓글을 위해 아래\n해당하는 댓글은 비공개 조치될 수 있음을 안내드립니다.
새로고침|새로고침
기타|기타
이곳에 서명|이곳에 서명
EPUB, PDF, TXT, ZIP, CBZ 파일을 추가하여\n볼 수 있습니다. PC와 연결 후 Documents\n폴더에 파일을 복사 후 가져올 파일을 선택하여\n추가 버튼을 누르세요.|EPUB, PDF, TXT, ZIP, CBZ 파일을 추가하여\n볼 수 있습니다. PC와 연결 후 Documents\n폴더에 파일을 복사 후 가져올 파일을 선택하여\n추가 버튼을 누르세요.
문서 이름|문서 이름
시작일~종료일|시작일~종료일
전체 보기|전체 보기
%1$s분|%1$s분
날짜 선택|날짜 선택
퀵버튼 설정|퀵버튼 설정
가로모드에서 두쪽보기|가로모드에서 두쪽보기
내보내는 중…|내보내는 중…
인증번호 6자리 숫자 (3시간 이내)|인증번호 6자리 숫자 (3시간 이내)
새로 삽입한 주석에 대한 저자 이름을 입력해 주십시오.|새로 삽입한 주석에 대한 저자 이름을 입력해 주십시오.
폴리라인|폴리라인
일회용 서명|일회용 서명
왼쪽으로 진행|왼쪽으로 진행
주석 없음|주석 없음
초안|초안
나가기|나가기
읽음|읽음
인증번호 재발송|인증번호 재발송
비밀번호 표시|비밀번호 표시
등록된 글꼴이 없습니다.|등록된 글꼴이 없습니다.
아래 QR 코드를 통해서 확인해보세요!|아래 QR 코드를 통해서 확인해보세요!
이전 페이지 / 위로 스크롤|이전 페이지 / 위로 스크롤
기기대체|기기대체
5mm 점종이|5mm 점종이
블루투스|블루투스
가로|가로
제목 가나다순|제목 가나다순
지우기|지우기
수정|수정
* 이미지가 화면 크기와 다를 경우 자동으로 확대/축소됩니다.|* 이미지가 화면 크기와 다를 경우 자동으로 확대/축소됩니다.
편의|편의
다운로드 전|다운로드 전
복사|복사
팝업으로 주석 보기|팝업으로 주석 보기
페이지 내보내기|페이지 내보내기
진하기 설정|진하기 설정
현재 %1$s 선택됨|현재 %1$s 선택됨
이전 달로 변경|이전 달로 변경
페이지 넘김 버튼 설정|페이지 넘김 버튼 설정
목차순|목차순
텍스트|텍스트
검색...|검색...
페이지 방향|페이지 방향
신고|신고
TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다.\nPC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을\n선택해주세요.|TTF, OTF 파일을 본문용 글꼴로 설정할 수 있습니다.\nPC와 연결 후 Fonts폴더에 파일을 복사하고 사용할 글꼴을\n선택해주세요.
날짜|날짜
사운드|사운드
오른쪽으로 진행|오른쪽으로 진행
저장 중…|저장 중…
즐겨찾기 없음|즐겨찾기 없음
문서를 저장할 수 없습니다.|문서를 저장할 수 없습니다.
이름|이름
상/하 터치로 페이지 이동|상/하 터치로 페이지 이동
구불한 선|구불한 선
고객센터 안내|고객센터 안내
탭하여 연도 선택으로 전환|탭하여 연도 선택으로 전환
두 번 탭하여 화면 확대|두 번 탭하여 화면 확대
오전|오전
